Basin Id|Segment ID|On Segment|RFA/Tag ID|Station ID|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Comment|Submitting Entity|Collecting Entity|Monitoring Type|Parameter Code|Greater Than/Less Than|Value|MDL|LOQ|Data Qualifier|Verify Flag|Validation Flag|Rating Flag|Nelac Status|Exempt Status
22|2202|Y|U700969|13079|04/17/2007|11:00|0.3||||||A-2629520 Oxygen Isotope Sample  PIC/TPCN volume-2|GS|GS|RT|00665||0.7|||||||USABLE|
22|2202|Y|U700969|13079|04/17/2007|11:00|0.3||||||A-2629520 Oxygen Isotope Sample  PIC/TPCN volume-2|GS|GS|RT|00094||3820|||||||USABLE|
22|2202|Y|U402409|13079|09/08/2004|12:00|0.3|||||||GS|GS|RT|00625||1.2|||||||USABLE|
22|2202|Y|U301535|13079|06/10/2003|15:30|0.3||||||A-2659512oxygen isotope sample|GS|GS|RT|00600||4.5|||||||USABLE|
22|2202|Y|U602242|13079|09/11/2006|12:30|0.3||||||A-2560039 Oxygen Isotope Sample  PIC/TCPN volume-2|GS|GS|RT|00010||29.5|||||||USABLE|
22|2202|Y|U602242|13079|09/11/2006|12:30|0.3||||||A-2560039 Oxygen Isotope Sample  PIC/TCPN volume-2|GS|GS|RT|00300||4.9|||||||USABLE|
22|2202|Y|U600916|13074|02/22/2006|14:22|2||||||Profile Data from Light Dark Experiment|GS|GS|RT|00400||7.7|||||||USABLE|
22|2202|Y|U600915|13074|02/22/2006|14:21|1||||||Profile Data from Light Dark Experiment|GS|GS|RT|00300||7.7|||||||USABLE|
22|2202|Y|U501000|13079|04/19/2005|13:00|0.3|||||||GS|GS|RT|00625||1.8|||||||USABLE|
22|2202|Y|U200967|13079|04/01/2002|15:00|0.3||||||A-0940029PIC/TCPN volume- 20ml|GS|GS|RT|00671||0.42|||||||USABLE|
22|2202|Y|U701964|13079|09/10/2007|13:30|0.3||||||A-2550059 PIC/TCPN volume-20mL  Oxygen Isotope Sam|GS|GS|RT|00400||7.9|||||||USABLE|
22|2202|Y|U701964|13079|09/10/2007|13:30|0.3||||||A-2550059 PIC/TCPN volume-20mL  Oxygen Isotope Sam|GS|GS|RT|00665||0.79|||||||USABLE|
